,Platinum (top 20%),Platinum (low 80%),Gold (top 20%),Gold (low 80%),Silver (top 20%),Silver (low 80%),Inactive customers,Lost customers
Platinum (top 20%),0.39,0.13,0.10,0.03,0.02,0.01,0.31,0.00
Platinum (low 80%),0.11,0.33,0.11,0.08,0.03,0.02,0.33,0.00
Gold (top 20%),0.03,0.10,0.31,0.10,0.08,0.03,0.36,0.00
Gold (low 80%),0.01,0.03,0.10,0.30,0.10,0.08,0.38,0.00
Silver (top 20%),0.00,0.01,0.03,0.11,0.34,0.11,0.40,0.00
Silver (low 80%),0.00,0.00,0.01,0.02,0.09,0.28,0.60,0.00
Inactive customers,0.00,0.00,0.00,0.01,0.03,0.08,0.00,0.88
Lost customers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
