Competitors,Origin,Price,Body,Aftertaste,Calories,Packaging,Glass
"Heineken, St Pauli, Grolsch",European,5.49,Rich full bodied,Mild,Regular,Six 12Oz Small,Green Label
Becks,European,6.19,Rich full bodied,Strong,Regular,Six 12Oz Large,Green Label
"Bass, Guiness",European,6.19,Rich full bodied,Strong,Full,Six 12Oz Small,Brown Label
Amstel Light,European,6.19,Regular body,Mild,Low,Six 12Oz Small,Brown Label
"Molson, Labatt, Moosehead",Canadian,5.49,Regular body,Mild,Regular,Six 12Oz Small,Green Label
"Corona, Dos Equis, Tecate",Canadian,5.49,Crisp and clear,Mild,Regular,Six 12Oz Large,Brown Painted
"Kirin, Sapporo",Japanese,5.49,Regular body,Mild,Regular,Six 12Oz Small,Brown Label
